TIME_STEP,Free Chlorine,Conductivity,pH,Temperature,TOC,Turbidity
06/08/2007 20:15,2.03,42.7155,9.5098496,14.8818,0.6440759,0.200023
06/08/2007 20:20,2.04,42.7155,9.5155905,14.8678,0.6359229,0.207476
06/08/2007 20:25,2.05,42.7155,9.51777,14.8528,0.647875,0.199299
06/08/2007 20:30,2.05,42.7155,9.51801,14.8379,0.644393,0.2018799
06/08/2007 20:35,2.04,41.9527,9.510489,14.827401,0.632124,0.199336
06/08/2007 20:40,2.04,41.9527,9.5140098,14.8366,0.617559,0.19814
06/08/2007 20:45,2.05,41.959099,9.5125198,14.836,0.6430469,0.200359
06/08/2007 20:50,2.04,41.959097,9.5190995,14.8379,0.6336279,0.202071
06/08/2007 20:55,2.05,42.715499,9.5204608,14.836,0.628799,0.199982
06/08/2007 21:00,2.02,42.709101,9.5149601,14.836,0.6302239,0.19967
06/08/2007 21:05,2.05,42.7155,9.5121805,14.796601,0.62033,0.205634
06/08/2007 21:10,2.04,42.7155,9.50509,14.7979,0.613285,0.202329
06/08/2007 21:15,2.04,42.7155,9.50885,14.7693,0.610198,0.200315
06/08/2007 21:20,2.04,42.7155,9.5061999,14.7585,0.637111,0.202827
06/08/2007 21:25,2.05,42.7155,9.5137595,14.7543,0.631887,0.2015469
06/08/2007 21:30,2.06,42.7155,9.4867503,14.739401,0.626979,0.204017
06/08/2007 21:35,2.06,42.7155,9.5307791,14.727301,0.6471629,0.2049269
06/08/2007 21:40,2.07,42.7155,9.5312709,14.7473,0.6266619,0.2074879
06/08/2007 21:45,2.07,42.709103,9.5306499,14.729201,0.6351309,0.2080119
06/08/2007 21:50,2.06,42.7155,9.5312301,14.7353,0.6384559,0.209078
06/08/2007 21:55,2.05,42.715498,9.5316006,14.7639,0.614631,0.208545
06/08/2007 22:00,2.05,42.7155,9.5320296,14.7426,0.620488,0.207824
06/08/2007 22:05,2.06,42.7155,9.5365399,14.7244,0.6152639,0.210393
06/08/2007 22:10,2.05,42.7155,9.5415293,14.714301,0.623575,0.2117979
06/08/2007 22:15,2.05,41.952701,9.5402098,14.6936,0.613602,0.209223
06/08/2007 22:20,2.06,41.94,9.5415898,14.6885,0.617164,0.212334
06/08/2007 22:25,2.06,41.9527,9.5386304,14.6873,0.614472,0.2135819
06/08/2007 22:30,2.07,41.9527,9.5366492,14.679301,0.6417799,0.214266
06/08/2007 22:35,2.05,41.952698,9.5465994,14.682201,0.6186679,0.2155659
06/08/2007 22:40,2.07,41.9527,9.5410397,14.6889,0.606953,0.2179209
06/08/2007 22:45,2.06,41.952698,9.5441095,14.6828,0.6063989,0.214972
06/08/2007 22:50,2.05,43.471899,9.5357195,14.6904,0.609961,0.216258
06/08/2007 22:55,2.06,43.4783,9.5393907,14.694899,0.6151849,0.216102
06/08/2007 23:00,2.07,43.471901,9.5415701,14.701899,0.6166099,0.216235
06/08/2007 23:05,2.07,43.478298,9.5377902,14.693901,0.6143139,0.219045
06/08/2007 23:10,2.06,43.478298,9.5385197,14.6895,0.602362,0.218628
06/08/2007 23:15,1.98,43.230302,9.53792,14.6895,0.622863,0.218344
06/08/2007 23:20,2.06,42.7155,9.5416209,14.677401,0.5990369,0.219627
06/08/2007 23:25,2.06,42.715498,9.5416791,14.6742,0.632282,0.219535
06/08/2007 23:30,2.06,42.721897,9.5419004,14.6749,0.6306199,0.219569
06/08/2007 23:35,2.07,42.715498,9.5248908,14.6765,0.640751,0.2186569
06/08/2007 23:40,2.07,42.7155,9.5407291,14.674901,0.6639439,0.2203949
06/08/2007 23:45,2.07,42.7155,9.5408398,14.667199,0.683732,0.220919
06/08/2007 23:50,2.07,42.7155,9.5415296,14.665299,0.662123,0.224769
06/08/2007 23:55,2.07,42.7155,9.5423307,14.6765,0.640673,0.223798
06/09/2007 00:00,2.07,42.7155,9.5424798,14.6869,0.6384559,0.222362
06/09/2007 00:05,2.06,42.715498,9.54133,14.691399,0.65215,0.221119
06/09/2007 00:10,2.07,42.7155,9.5419302,14.693,0.633311,0.222672
06/09/2007 00:15,2.06,42.7155,9.5419508,14.6831,0.620251,0.222767
06/09/2007 00:20,2.06,42.7091,9.5415901,14.6812,0.61471,0.223416
06/09/2007 00:25,2.07,43.007901,9.5418792,14.680599,0.6344979,0.224751
06/09/2007 00:30,2.05,43.2049,9.5415701,14.6828,0.6363189,0.226318
06/09/2007 00:35,2.07,43.471903,9.5416603,14.678,0.631649,0.226452
06/09/2007 00:40,2.07,43.4783,9.54184,14.6739,0.6313319,0.226292
06/09/2007 00:45,2.07,43.4783,9.54166,14.6634,0.6271369,0.226857
06/09/2007 00:50,2.07,43.4783,9.5416591,14.649401,0.6314109,0.228523
06/09/2007 00:55,2.07,43.4783,9.5413,14.6656,0.615423,0.231556
06/09/2007 01:00,2.07,43.4783,9.5369897,14.668801,0.60442,0.229261
06/09/2007 01:05,2.07,43.4783,9.5367207,14.6774,0.599354,0.228607
06/09/2007 01:10,1.66,43.4783,9.5383194,14.6822,0.6167679,0.229786
06/09/2007 01:15,1.63,43.4783,9.5385705,14.6796,0.616293,0.2290619
06/09/2007 01:20,2.06,43.4783,9.53723,14.6746,0.600541,0.22819
06/09/2007 01:25,2.06,43.4783,9.5355897,14.6761,0.6177179,0.2325319
06/09/2007 01:30,2,44.240999,9.5335399,14.674199,0.6289579,0.228769
06/09/2007 01:35,2.06,44.2347,9.5326092,14.670101,0.604737,0.230646
06/09/2007 01:40,2.06,44.234702,9.5306896,14.6755,0.619934,0.2275149
06/09/2007 01:45,2.07,44.241,9.5260599,14.6669,0.6234169,0.228166
06/09/2007 01:50,2.06,44.2347,9.5330705,14.6577,0.624683,0.2288439
06/09/2007 01:55,2.06,44.234698,9.5415894,14.6685,0.602995,0.2279289
06/09/2007 02:00,2.06,44.215603,9.5408593,14.6663,0.631649,0.226356
06/09/2007 02:05,2.06,44.241,9.53783,14.6742,0.6403559,0.22865
06/09/2007 02:10,2.06,44.2347,9.5370101,14.6707,0.611385,0.228604
06/09/2007 02:15,2.06,44.241,9.5369899,14.6752,0.6270579,0.227567
06/09/2007 02:20,2.03,44.241,9.5371199,14.6691,0.625,0.229429
06/09/2007 02:25,2.01,44.228301,9.53703,14.672,0.626425,0.231324
06/09/2007 02:30,2.05,44.241,9.5369196,14.686,0.6307779,0.231695
06/09/2007 02:35,1.79,44.240998,9.5369909,14.6698,0.62215,0.231298
06/09/2007 02:40,2.06,44.241,9.5369202,14.672,0.637269,0.228042
06/09/2007 02:45,2.06,44.2347,9.5367398,14.6698,0.621517,0.230049
06/09/2007 02:50,2.02,44.234702,9.5368096,14.6529,0.6464509,0.2301159
06/09/2007 02:55,2.06,44.240999,9.5367001,14.6574,0.6356069,0.230724
06/09/2007 03:00,2.05,44.240999,9.5367696,14.6577,0.6300659,0.2305759
06/09/2007 03:05,2.05,44.241,9.5368297,14.6501,0.611148,0.2297569
06/09/2007 03:10,2.05,44.2347,9.53632,14.6583,0.622705,0.230458
06/09/2007 03:15,2.04,44.240999,9.5315203,14.6587,0.618826,0.229809
06/09/2007 03:20,2.03,44.234699,9.5315602,14.659,0.6367149,0.227822
06/09/2007 03:25,2.04,44.240998,9.5314708,14.6618,0.639169,0.230316
06/09/2007 03:30,2.05,44.412596,9.5319596,14.655801,0.6428099,0.2326419
06/09/2007 03:35,2.05,44.5017,9.5316004,14.651,0.6432839,0.2333429
06/09/2007 03:40,2,44.584301,9.5319602,14.6396,0.622705,0.236184
06/09/2007 03:45,2.02,44.991098,9.53156,14.639599,0.6470049,0.232656
